Leeuwarden,2016-04-24,   44,   82,    3
Leeuwarden,2016-04-25,   46,   96,    4
Leeuwarden,2016-04-26,   43,   81,    9
Leeuwarden,2016-04-27,   50,   89,    6
Leeuwarden,2016-04-28,   48,   96,   -5
Leeuwarden,2016-04-29,   69,  104,   24
Leeuwarden,2016-04-30,   62,  106,  -20
Leeuwarden,2016-05-01,   67,  124,  -30
Leeuwarden,2016-05-02,  108,  158,    0
Leeuwarden,2016-05-03,   87,  125,   12
Leeuwarden,2016-05-04,  102,  157,    1
Leeuwarden,2016-05-05,  128,  183,   49
Leeuwarden,2016-05-06,  166,  230,   54
Leeuwarden,2016-05-07,  204,  260,  120
Leeuwarden,2016-05-08,  200,  249,  118
Leeuwarden,2016-05-09,  199,  246,  112
Leeuwarden,2016-05-10,  188,  240,  111
Leeuwarden,2016-05-11,  187,  249,  108
Leeuwarden,2016-05-12,  171,  226,   97
Leeuwarden,2016-05-13,  118,  170,   70
Leeuwarden,2016-05-14,   81,  115,   47
Leeuwarden,2016-05-15,   80,  113,   28
Leeuwarden,2016-05-16,   90,  131,   20
Leeuwarden,2016-05-17,  114,  153,   53
Leeuwarden,2016-05-18,  131,  181,   59
Leeuwarden,2016-05-19,  141,  197,   78
Leeuwarden,2016-05-20,  130,  153,   93
Leeuwarden,2016-05-21,  154,  214,   80
Leeuwarden,2016-05-22,  152,  188,  121
Leeuwarden,2016-05-23,  112,  122,   91
Leeuwarden,2016-05-24,  102,  108,   90
Leeuwarden,2016-05-25,  118,  141,   89
Leeuwarden,2016-05-26,  124,  167,   72
Leeuwarden,2016-05-27,  126,  172,   62
Leeuwarden,2016-05-28,  157,  207,   83
Leeuwarden,2016-05-29,  154,  183,  113
Leeuwarden,2016-05-30,  161,  194,  138
Leeuwarden,2016-05-31,  185,  230,  143
Leeuwarden,2016-06-01,  177,  225,  137
Leeuwarden,2016-06-02,  136,  146,  128
Leeuwarden,2016-06-03,  184,  250,  126
Leeuwarden,2016-06-04,  199,  265,  116
Leeuwarden,2016-06-05,  144,  185,   89
Leeuwarden,2016-06-06,  142,  188,   78
Leeuwarden,2016-06-07,  149,  205,   78
Leeuwarden,2016-06-08,  126,  160,   94
Leeuwarden,2016-06-09,  126,  162,   62
Leeuwarden,2016-06-10,  132,  161,   82
Leeuwarden,2016-06-11,  141,  181,   93
Leeuwarden,2016-06-12,  162,  201,  117
Leeuwarden,2016-06-13,  161,  201,  141
Leeuwarden,2016-06-14,  155,  191,  115
Leeuwarden,2016-06-15,  142,  187,   96
Leeuwarden,2016-06-16,  159,  204,   83
Leeuwarden,2016-06-17,  154,  188,  116
Leeuwarden,2016-06-18,  141,  174,  102
Leeuwarden,2016-06-19,  143,  168,  106
Leeuwarden,2016-06-20,  152,  162,  129
Leeuwarden,2016-06-21,  178,  224,  130
Leeuwarden,2016-06-22,  194,  229,  129
Leeuwarden,2016-06-23,  204,  267,  185
Leeuwarden,2016-06-24,  182,  213,  100
Leeuwarden,2016-06-25,  152,  192,   91
Leeuwarden,2016-06-26,  149,  183,  109
Leeuwarden,2016-06-27,  147,  178,   83
Leeuwarden,2016-06-28,  154,  189,   85
Leeuwarden,2016-06-29,  155,  188,  129
Leeuwarden,2016-06-30,  153,  181,  136
Leeuwarden,2016-07-01,  160,  170,  132
Leeuwarden,2016-07-02,  149,  174,  116
Leeuwarden,2016-07-03,  151,  189,  104
Leeuwarden,2016-07-04,  169,  216,  109
Leeuwarden,2016-07-05,  149,  179,  103
Leeuwarden,2016-07-06,  142,  179,   83
Leeuwarden,2016-07-07,  162,  214,   80
Leeuwarden,2016-07-08,  164,  193,  123
Leeuwarden,2016-07-09,  170,  212,  107
Leeuwarden,2016-07-10,  195,  238,  158
Leeuwarden,2016-07-11,  175,  197,  153
Leeuwarden,2016-07-12,  168,  198,  114
Leeuwarden,2016-07-13,  143,  179,   94
Leeuwarden,2016-07-14,  144,  176,   99
Leeuwarden,2016-07-15,  157,  197,  112
Leeuwarden,2016-07-16,  180,  195,  146
Leeuwarden,2016-07-17,  176,  210,  124
Leeuwarden,2016-07-18,  184,  229,  121
Leeuwarden,2016-07-19,  217,  283,  118
Leeuwarden,2016-07-20,  241,  317,  174
Leeuwarden,2016-07-21,  216,  277,  160
Leeuwarden,2016-07-22,  190,  231,  155
Leeuwarden,2016-07-23,  187,  217,  159
Leeuwarden,2016-07-24,  199,  243,  151
Leeuwarden,2016-07-25,  182,  217,  125
Leeuwarden,2016-07-26,  180,  225,  123
Leeuwarden,2016-07-27,  174,  214,  113
Leeuwarden,2016-07-28,  170,  208,  100
Leeuwarden,2016-07-29,  183,  215,  150
Leeuwarden,2016-07-30,  175,  207,  146
Leeuwarden,2016-07-31,  161,  203,  114
Leeuwarden,2016-08-01,  160,  199,  113
Leeuwarden,2016-08-02,  168,  196,  123
Leeuwarden,2016-08-03,  187,  210,  155
Leeuwarden,2016-08-04,  176,  209,  139
Leeuwarden,2016-08-05,  167,  201,  118
Leeuwarden,2016-08-06,  165,  213,  107
Leeuwarden,2016-08-07,  182,  221,  110
Leeuwarden,2016-08-08,  159,  188,   93
Leeuwarden,2016-08-09,  133,  174,   87
Leeuwarden,2016-08-10,  117,  166,   65
Leeuwarden,2016-08-11,  140,  169,   62
Leeuwarden,2016-08-12,  173,  196,  142
Leeuwarden,2016-08-13,  163,  195,  108
Leeuwarden,2016-08-14,  153,  194,  102
Leeuwarden,2016-08-15,  143,  197,   73
Leeuwarden,2016-08-16,  146,  191,   81
Leeuwarden,2016-08-17,  161,  223,   97
Leeuwarden,2016-08-18,  155,  206,   70
Leeuwarden,2016-08-19,  179,  236,   76
Leeuwarden,2016-08-20,  176,  210,  139
Leeuwarden,2016-08-21,  163,  194,  139
Leeuwarden,2016-08-22,  177,  199,  142
Leeuwarden,2016-08-23,  209,  255,  174
Leeuwarden,2016-08-24,  240,  295,  168
Leeuwarden,2016-08-25,  242,  304,  162
Leeuwarden,2016-08-26,  198,  232,  117
Leeuwarden,2016-08-27,  183,  230,  104
Leeuwarden,2016-08-28,  201,  239,  161
Leeuwarden,2016-08-29,  164,  200,   98
Leeuwarden,2016-08-30,  170,  223,   94
Leeuwarden,2016-08-31,  181,  242,  101
Leeuwarden,2016-09-01,  167,  206,  108
Leeuwarden,2016-09-02,  173,  209,  109
Leeuwarden,2016-09-03,  181,  213,  152
Leeuwarden,2016-09-04,  173,  202,  146
Leeuwarden,2016-09-05,  173,  215,  115
Leeuwarden,2016-09-06,  183,  232,  109
Leeuwarden,2016-09-07,  198,  259,  130
Leeuwarden,2016-09-08,  195,  251,  114
Leeuwarden,2016-09-09,  181,  225,  104
Leeuwarden,2016-09-10,  192,  242,  137
Leeuwarden,2016-09-11,  184,  219,  147
Leeuwarden,2016-09-12,  213,  276,  140
Leeuwarden,2016-09-13,  237,  302,  137
Leeuwarden,2016-09-14,  233,  294,  169
Leeuwarden,2016-09-15,  217,  270,  168
Leeuwarden,2016-09-16,  182,  208,  138
Leeuwarden,2016-09-17,  169,  222,   97
Leeuwarden,2016-09-18,  164,  204,  100
Leeuwarden,2016-09-19,  146,  199,   62
Leeuwarden,2016-09-20,  139,  190,   53
Leeuwarden,2016-09-21,  153,  196,   67
Leeuwarden,2016-09-22,  154,  199,   57
Leeuwarden,2016-09-23,  144,  213,   63
Leeuwarden,2016-09-24,  163,  214,   66
Leeuwarden,2016-09-25,  169,  241,  104
Leeuwarden,2016-09-26,  137,  190,   68
Leeuwarden,2016-09-27,  146,  196,   45
Leeuwarden,2016-09-28,  177,  198,  158
Leeuwarden,2016-09-29,  167,  189,  131
Leeuwarden,2016-09-30,  138,  177,   92
Leeuwarden,2016-10-01,  130,  180,   92
Leeuwarden,2016-10-02,  120,  155,   72
Leeuwarden,2016-10-03,  135,  177,   55
Leeuwarden,2016-10-04,  124,  165,   77
Leeuwarden,2016-10-05,   94,  131,   42
Leeuwarden,2016-10-06,   97,  136,    5
Leeuwarden,2016-10-07,  118,  138,   99
Leeuwarden,2016-10-08,   94,  130,   24
Leeuwarden,2016-10-09,   78,  133,    1
Leeuwarden,2016-10-10,   67,  125,   -9
Leeuwarden,2016-10-11,   97,  131,   18
Leeuwarden,2016-10-12,   97,  121,   69
Leeuwarden,2016-10-13,   83,   99,   53
Leeuwarden,2016-10-14,   85,  105,   64
Leeuwarden,2016-10-15,  102,  131,   80
Leeuwarden,2016-10-16,  126,  174,   76
Leeuwarden,2016-10-17,  122,  165,   89
Leeuwarden,2016-10-18,   98,  129,   55
Leeuwarden,2016-10-19,   89,  115,   51
Leeuwarden,2016-10-20,   90,  120,   12
Leeuwarden,2016-10-21,   82,  120,   12
Leeuwarden,2016-10-22,   70,  117,    5
Leeuwarden,2016-10-23,   72,  115,    3
Leeuwarden,2016-10-24,   63,   91,   11
Leeuwarden,2016-10-25,   73,  120,  -15
Leeuwarden,2016-10-26,   75,  116,  -22
Leeuwarden,2016-10-27,  122,  154,   86
Leeuwarden,2016-10-28,  121,  158,   48
Leeuwarden,2016-10-29,   89,  137,   22
Leeuwarden,2016-10-30,  106,  125,   30
Leeuwarden,2016-10-31,  111,  157,   54
Leeuwarden,2016-11-01,   97,  136,   38
Leeuwarden,2016-11-02,   80,  112,   28
Leeuwarden,2016-11-03,   77,  110,   16
Leeuwarden,2016-11-04,   80,   97,   68
Leeuwarden,2016-11-05,   65,  100,   27
Leeuwarden,2016-11-06,   68,  110,    9
Leeuwarden,2016-11-07,   41,   62,    1
Leeuwarden,2016-11-08,   15,   33,  -38
Leeuwarden,2016-11-09,   25,   41,    6
Leeuwarden,2016-11-10,   19,   33,   -4
Leeuwarden,2016-11-11,   19,   67,  -48
Leeuwarden,2016-11-12,   14,   39,  -19
Leeuwarden,2016-11-13,   23,   35,    1
Leeuwarden,2016-11-14,   33,   70,   -7
Leeuwarden,2016-11-15,   99,  125,   46
Leeuwarden,2016-11-16,  101,  128,   52
Leeuwarden,2016-11-17,   73,   97,   22
Leeuwarden,2016-11-18,   59,   86,   32
Leeuwarden,2016-11-19,   46,   71,   24
Leeuwarden,2016-11-20,   70,  100,   34
Leeuwarden,2016-11-21,  108,  130,   61
Leeuwarden,2016-11-22,  100,  118,   34
Leeuwarden,2016-11-23,   76,   93,   12
Leeuwarden,2016-11-24,   59,   88,   10
Leeuwarden,2016-11-25,   36,   75,    1
Leeuwarden,2016-11-26,   33,   87,  -39
Leeuwarden,2016-11-27,   58,  101,  -44
Leeuwarden,2016-11-28,   -8,   46,  -80
Leeuwarden,2016-11-29,  -19,   30,  -86
Leeuwarden,2016-11-30,   55,   84,  -22
Leeuwarden,2016-12-01,   85,   95,   59
Leeuwarden,2016-12-02,   54,   89,  -30
Leeuwarden,2016-12-03,   23,   84,  -63
Leeuwarden,2016-12-04,  -12,   40,  -80
Leeuwarden,2016-12-05,  -34,   35,  -97
Leeuwarden,2016-12-06,  -15,   30,  -98
Leeuwarden,2016-12-07,   48,   66,   15
Leeuwarden,2016-12-08,   71,   97,   38
Leeuwarden,2016-12-09,   89,  100,   74
Leeuwarden,2016-12-10,   86,  104,   64
Leeuwarden,2016-12-11,   77,   93,   52
Leeuwarden,2016-12-12,   70,   89,   30
Leeuwarden,2016-12-13,   59,   68,   39
Leeuwarden,2016-12-14,   78,   85,   65
Leeuwarden,2016-12-15,   67,   85,   55
Leeuwarden,2016-12-16,   47,   59,   23
Leeuwarden,2016-12-17,   54,   84,   10
Leeuwarden,2016-12-18,   57,   89,   10
Leeuwarden,2016-12-19,   49,   83,  -11
Leeuwarden,2016-12-20,    4,   33,  -31
Leeuwarden,2016-12-21,   39,   57,    5
Leeuwarden,2016-12-22,   55,   75,   30
Leeuwarden,2016-12-23,   54,   74,   25
Leeuwarden,2016-12-24,   76,   93,   49
Leeuwarden,2016-12-25,   97,  110,   81
Leeuwarden,2016-12-26,   78,  107,   50
Leeuwarden,2016-12-27,   68,   89,   22
Leeuwarden,2016-12-28,   45,   78,    6
Leeuwarden,2016-12-29,    4,   26,   -7
Leeuwarden,2016-12-30,   19,   51,  -15
Leeuwarden,2016-12-31,   52,   76,   39
Maastricht,2016-01-01,   60,   87,   25
Maastricht,2016-01-02,   74,   95,   44
Maastricht,2016-01-03,   66,   88,   41
Maastricht,2016-01-04,   63,   76,   37
Maastricht,2016-01-05,   67,   80,   32
Maastricht,2016-01-06,   64,   78,   33
Maastricht,2016-01-07,   60,   81,   27
Maastricht,2016-01-08,   43,   79,    9
Maastricht,2016-01-09,   58,   81,   13
Maastricht,2016-01-10,   68,   91,   30
Maastricht,2016-01-11,   55,   78,   21
Maastricht,2016-01-12,   56,   75,   38
Maastricht,2016-01-13,   43,   56,   11
Maastricht,2016-01-14,   29,   49,   11
Maastricht,2016-01-15,   17,   22,    6
Maastricht,2016-01-16,   18,   50,   -8
Maastricht,2016-01-17,  -12,    9,  -67
Maastricht,2016-01-18,  -36,   -4,  -77
Maastricht,2016-01-19,  -38,    4,  -92
Maastricht,2016-01-20,   -5,   10,  -29
Maastricht,2016-01-21,    4,   43,  -45
Maastricht,2016-01-22,   17,   45,  -45
Maastricht,2016-01-23,   59,   78,   33
Maastricht,2016-01-24,   68,   85,   30
Maastricht,2016-01-25,  108,  162,   51
Maastricht,2016-01-26,   96,  108,   79
Maastricht,2016-01-27,  100,  110,   85
Maastricht,2016-01-28,   57,   97,   -3
Maastricht,2016-01-29,   68,   91,   13
Maastricht,2016-01-30,   62,   89,   17
Maastricht,2016-01-31,   70,  116,   28
Maastricht,2016-02-01,  108,  116,   97
Maastricht,2016-02-02,   80,  109,   42
Maastricht,2016-02-03,   45,   69,   25
Maastricht,2016-02-04,   47,   79,   16
Maastricht,2016-02-05,   82,  101,   14
Maastricht,2016-02-06,   95,  111,   67
Maastricht,2016-02-07,   83,  112,   52
Maastricht,2016-02-08,   82,  101,   61
Maastricht,2016-02-09,   55,  107,   22
Maastricht,2016-02-10,   37,   51,   23
Maastricht,2016-02-11,   42,   69,   12
Maastricht,2016-02-12,   28,   57,  -36
Maastricht,2016-02-13,   14,   42,  -45
Maastricht,2016-02-14,   18,   29,    1
Maastricht,2016-02-15,    9,   44,  -47
Maastricht,2016-02-16,   -8,   34,  -70
Maastricht,2016-02-17,    0,   43,  -78
Maastricht,2016-02-18,   22,   55,  -30
Maastricht,2016-02-19,   33,   77,    1
Maastricht,2016-02-20,   79,  109,   40
Maastricht,2016-02-21,  107,  120,   96
Maastricht,2016-02-22,   71,  106,   30
Maastricht,2016-02-23,   32,   80,   -6
Maastricht,2016-02-24,   23,   64,  -46
Maastricht,2016-02-25,    8,   60,  -50
Maastricht,2016-02-26,   23,   53,  -20
Maastricht,2016-02-27,   26,   72,  -11
Maastricht,2016-02-28,   17,   56,  -25
Maastricht,2016-02-29,   15,   68,  -57
Maastricht,2016-03-01,   14,   59,  -67
Maastricht,2016-03-02,   56,   95,   23
Maastricht,2016-03-03,   31,   70,  -13
Maastricht,2016-03-04,   31,   51,  -24
Maastricht,2016-03-05,   22,   47,  -14
Maastricht,2016-03-06,   21,   53,  -11
Maastricht,2016-03-07,   18,   49,  -38
Maastricht,2016-03-08,   18,   55,  -36
Maastricht,2016-03-09,   42,   84,  -12
Maastricht,2016-03-10,   38,   95,  -45
Maastricht,2016-03-11,   42,   98,  -29
Maastricht,2016-03-12,   27,   86,  -44
Maastricht,2016-03-13,   36,   97,  -25
Maastricht,2016-03-14,   29,   83,  -21
Maastricht,2016-03-15,   32,   78,  -45
Maastricht,2016-03-16,   42,   88,  -11
Maastricht,2016-03-17,   46,  106,  -24
Maastricht,2016-03-18,   23,   47,  -42
Maastricht,2016-03-19,   48,   61,   34
Maastricht,2016-03-20,   60,   88,   38
Maastricht,2016-03-21,   69,   97,   47
Maastricht,2016-03-22,   70,  113,   13
Maastricht,2016-03-23,   72,  104,   50
Maastricht,2016-03-24,   75,   93,   55
Maastricht,2016-03-25,   67,   96,    3
Maastricht,2016-03-26,   95,  154,  -11
Maastricht,2016-03-27,  100,  136,   66
Maastricht,2016-03-28,   94,  133,   47
Maastricht,2016-03-29,   82,  111,   47
Maastricht,2016-03-30,   92,  122,   58
Maastricht,2016-03-31,   63,   77,   47
Maastricht,2016-04-01,   79,  125,   12
Maastricht,2016-04-02,  112,  143,   63
Maastricht,2016-04-03,  159,  203,  111
Maastricht,2016-04-04,  132,  168,   87
Maastricht,2016-04-05,  103,  136,   51
Maastricht,2016-04-06,   91,  136,   52
Maastricht,2016-04-07,   69,  119,   29
Maastricht,2016-04-08,   73,  112,    4
Maastricht,2016-04-09,   95,  155,    3
Maastricht,2016-04-10,  111,  173,   61
Maastricht,2016-04-11,  140,  211,   49
Maastricht,2016-04-12,  109,  181,   31
Maastricht,2016-04-13,   89,  125,   26
Maastricht,2016-04-14,  106,  170,    5
Maastricht,2016-04-15,  117,  166,   86
Maastricht,2016-04-16,   91,  140,   23
Maastricht,2016-04-17,   60,  103,   -7
Maastricht,2016-04-18,   76,  130,  -10
Maastricht,2016-04-19,   90,  145,   15
Maastricht,2016-04-20,   83,  143,   -3
Maastricht,2016-04-21,  117,  194,    7
Maastricht,2016-04-22,  105,  148,   69
Maastricht,2016-04-23,   57,   95,  -12
Maastricht,2016-04-24,   37,   76,   -9
Maastricht,2016-04-25,   40,   74,   -6
Maastricht,2016-04-26,   30,   58,    4
Maastricht,2016-04-27,   42,   77,    7
Maastricht,2016-04-28,   51,  113,   -8
Maastricht,2016-04-29,   70,  112,   23
Maastricht,2016-04-30,   67,   92,   43
Maastricht,2016-05-01,   83,  132,    8
Maastricht,2016-05-02,  116,  185,    2
Maastricht,2016-05-03,  104,  147,    5
Maastricht,2016-05-04,   97,  150,   -4
Maastricht,2016-05-05,  134,  196,   40
Maastricht,2016-05-06,  177,  244,   62
Maastricht,2016-05-07,  203,  255,   99
Maastricht,2016-05-08,  201,  247,  118
Maastricht,2016-05-09,  197,  247,  126
Maastricht,2016-05-10,  172,  200,  140
Maastricht,2016-05-11,  193,  244,  116
Maastricht,2016-05-12,  179,  235,  112
Maastricht,2016-05-13,  169,  226,   92
Maastricht,2016-05-14,   88,  130,   41
Maastricht,2016-05-15,   85,  129,   44
Maastricht,2016-05-16,   94,  129,   57
Maastricht,2016-05-17,  129,  181,   67
Maastricht,2016-05-18,  140,  191,   72
Maastricht,2016-05-19,  132,  189,   69
Maastricht,2016-05-20,  138,  177,   84
Maastricht,2016-05-21,  189,  241,  123
Maastricht,2016-05-22,  165,  200,  126
Maastricht,2016-05-23,  110,  140,   98
Maastricht,2016-05-24,  110,  136,   83
Maastricht,2016-05-25,  119,  168,   78
Maastricht,2016-05-26,  163,  219,   53
Maastricht,2016-05-27,  168,  228,  105
Maastricht,2016-05-28,  171,  235,   96
Maastricht,2016-05-29,  163,  186,  118
Maastricht,2016-05-30,  157,  166,  149
Maastricht,2016-05-31,  164,  204,  139
Maastricht,2016-06-01,  153,  162,  121
Maastricht,2016-06-02,  176,  236,  152
Maastricht,2016-06-03,  161,  210,  146
Maastricht,2016-06-04,  158,  191,  146
Maastricht,2016-06-05,  189,  264,  146
Maastricht,2016-06-06,  199,  261,  132
Maastricht,2016-06-07,  193,  266,  135
Maastricht,2016-06-08,  182,  237,  120
Maastricht,2016-06-09,  160,  213,  100
Maastricht,2016-06-10,  164,  217,   70
Maastricht,2016-06-11,  172,  225,  134
Maastricht,2016-06-12,  162,  221,  142
Maastricht,2016-06-13,  152,  198,  135
Maastricht,2016-06-14,  153,  207,  118
Maastricht,2016-06-15,  137,  186,   95
Maastricht,2016-06-16,  137,  190,   78
Maastricht,2016-06-17,  145,  189,  120
Maastricht,2016-06-18,  137,  179,  119
Maastricht,2016-06-19,  144,  193,  101
Maastricht,2016-06-20,  156,  198,  110
Maastricht,2016-06-21,  176,  212,  141
Maastricht,2016-06-22,  209,  253,  148
Maastricht,2016-06-23,  251,  322,  159
Maastricht,2016-06-24,  204,  242,  160
Maastricht,2016-06-25,  152,  176,  104
Maastricht,2016-06-26,  146,  191,   99
Maastricht,2016-06-27,  149,  194,  114
Maastricht,2016-06-28,  174,  215,  126
Maastricht,2016-06-29,  168,  208,  130
Maastricht,2016-06-30,  172,  203,  144
Maastricht,2016-07-01,  181,  215,  147
Maastricht,2016-07-02,  145,  178,  110
Maastricht,2016-07-03,  153,  194,  110
Maastricht,2016-07-04,  175,  225,  106
Maastricht,2016-07-05,  164,  210,   87
Maastricht,2016-07-06,  157,  209,   85
Maastricht,2016-07-07,  177,  227,   78
Maastricht,2016-07-08,  202,  244,  151
Maastricht,2016-07-09,  203,  250,  163
Maastricht,2016-07-10,  236,  298,  172
Maastricht,2016-07-11,  195,  236,  156
Maastricht,2016-07-12,  161,  215,  109
Maastricht,2016-07-13,  133,  189,   91
Maastricht,2016-07-14,  142,  191,   77
Maastricht,2016-07-15,  158,  212,   77
Maastricht,2016-07-16,  186,  240,  143
Maastricht,2016-07-17,  205,  250,  139
Maastricht,2016-07-18,  222,  289,  117
Maastricht,2016-07-19,  246,  308,  130
Maastricht,2016-07-20,  266,  339,  161
Maastricht,2016-07-21,  234,  279,  182
Maastricht,2016-07-22,  218,  266,  167
Maastricht,2016-07-23,  208,  258,  174
Maastricht,2016-07-24,  212,  265,  156
Maastricht,2016-07-25,  205,  252,  148
Maastricht,2016-07-26,  192,  231,  142
Maastricht,2016-07-27,  185,  229,  125
Maastricht,2016-07-28,  193,  238,  154
Maastricht,2016-07-29,  189,  239,  151
Maastricht,2016-07-30,  183,  235,  135
Maastricht,2016-07-31,  166,  211,   97
Maastricht,2016-08-01,  169,  228,   89
Maastricht,2016-08-02,  160,  179,  135
Maastricht,2016-08-03,  181,  194,  168
Maastricht,2016-08-04,  170,  202,  133
Maastricht,2016-08-05,  164,  218,  112
Maastricht,2016-08-06,  170,  224,   90
Maastricht,2016-08-07,  199,  249,   90
Maastricht,2016-08-08,  171,  216,  114
Maastricht,2016-08-09,  139,  195,   77
Maastricht,2016-08-10,  123,  164,   63
Maastricht,2016-08-11,  127,  170,   60
Maastricht,2016-08-12,  180,  227,  141
Maastricht,2016-08-13,  186,  238,  130
Maastricht,2016-08-14,  182,  231,  119
Maastricht,2016-08-15,  176,  227,  128
Maastricht,2016-08-16,  174,  239,  100
Maastricht,2016-08-17,  187,  256,  111
