# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TX, T10N
# 
  270,20160608,  126,  160,   94
  270,20160609,  126,  162,   62
  270,20160610,  132,  161,   82
  270,20160611,  141,  181,   93
  270,20160612,  162,  201,  117
  270,20160613,  161,  201,  141
  270,20160614,  155,  191,  115
  270,20160615,  142,  187,   96
  270,20160616,  159,  204,   83
  270,20160617,  154,  188,  116
  270,20160618,  141,  174,  102
  270,20160619,  143,  168,  106
  270,20160620,  152,  162,  129
  270,20160621,  178,  224,  130
  270,20160622,  194,  229,  129
  270,20160623,  204,  267,  185
  270,20160624,  182,  213,  100
  270,20160625,  152,  192,   91
  270,20160626,  149,  183,  109
  270,20160627,  147,  178,   83
  270,20160628,  154,  189,   85
  270,20160629,  155,  188,  129
  270,20160630,  153,  181,  136
  270,20160701,  160,  170,  132
  270,20160702,  149,  174,  116
  270,20160703,  151,  189,  104
  270,20160704,  169,  216,  109
  270,20160705,  149,  179,  103
  270,20160706,  142,  179,   83
  270,20160707,  162,  214,   80
  270,20160708,  164,  193,  123
  270,20160709,  170,  212,  107
  270,20160710,  195,  238,  158
  270,20160711,  175,  197,  153
  270,20160712,  168,  198,  114
  270,20160713,  143,  179,   94
  270,20160714,  144,  176,   99
  270,20160715,  157,  197,  112
  270,20160716,  180,  195,  146
  270,20160717,  176,  210,  124
  270,20160718,  184,  229,  121
  270,20160719,  217,  283,  118
  270,20160720,  241,  317,  174
  270,20160721,  216,  277,  160
  270,20160722,  190,  231,  155
  270,20160723,  187,  217,  159
  270,20160724,  199,  243,  151
  270,20160725,  182,  217,  125
  270,20160726,  180,  225,  123
  270,20160727,  174,  214,  113
  270,20160728,  170,  208,  100
  270,20160729,  183,  215,  150
  270,20160730,  175,  207,  146
  270,20160731,  161,  203,  114
  270,20160801,  160,  199,  113
  270,20160802,  168,  196,  123
  270,20160803,  187,  210,  155
  270,20160804,  176,  209,  139
  270,20160805,  167,  201,  118
  270,20160806,  165,  213,  107
  270,20160807,  182,  221,  110
  270,20160808,  159,  188,   93
  270,20160809,  133,  174,   87
  270,20160810,  117,  166,   65
  270,20160811,  140,  169,   62
  270,20160812,  173,  196,  142
  270,20160813,  163,  195,  108
  270,20160814,  153,  194,  102
  270,20160815,  143,  197,   73
  270,20160816,  146,  191,   81
  270,20160817,  161,  223,   97
  270,20160818,  155,  206,   70
  270,20160819,  179,  236,   76
  270,20160820,  176,  210,  139
  270,20160821,  163,  194,  139
  270,20160822,  177,  199,  142
  270,20160823,  209,  255,  174
  270,20160824,  240,  295,  168
  270,20160825,  242,  304,  162
  270,20160826,  198,  232,  117
  270,20160827,  183,  230,  104
  270,20160828,  201,  239,  161
  270,20160829,  164,  200,   98
  270,20160830,  170,  223,   94
  270,20160831,  181,  242,  101
  270,20160901,  167,  206,  108
  270,20160902,  173,  209,  109
  270,20160903,  181,  213,  152
  270,20160904,  173,  202,  146
  270,20160905,  173,  215,  115
  270,20160906,  183,  232,  109
  270,20160907,  198,  259,  130
  270,20160908,  195,  251,  114
  270,20160909,  181,  225,  104
  270,20160910,  192,  242,  137
  270,20160911,  184,  219,  147
  270,20160912,  213,  276,  140
  270,20160913,  237,  302,  137
  270,20160914,  233,  294,  169
  270,20160915,  217,  270,  168
  270,20160916,  182,  208,  138
  270,20160917,  169,  222,   97
  270,20160918,  164,  204,  100
  270,20160919,  146,  199,   62
  270,20160920,  139,  190,   53
  270,20160921,  153,  196,   67
  270,20160922,  154,  199,   57
  270,20160923,  144,  213,   63
  270,20160924,  163,  214,   66
  270,20160925,  169,  241,  104
  270,20160926,  137,  190,   68
  270,20160927,  146,  196,   45
  270,20160928,  177,  198,  158
  270,20160929,  167,  189,  131
  270,20160930,  138,  177,   92
  270,20161001,  130,  180,   92
  270,20161002,  120,  155,   72
  270,20161003,  135,  177,   55
  270,20161004,  124,  165,   77
  270,20161005,   94,  131,   42
  270,20161006,   97,  136,    5
  270,20161007,  118,  138,   99
  270,20161008,   94,  130,   24
  270,20161009,   78,  133,    1
  270,20161010,   67,  125,   -9
  270,20161011,   97,  131,   18
  270,20161012,   97,  121,   69
  270,20161013,   83,   99,   53
