# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# Q        = Globale straling (in J/cm2); 
# 
# STN,YYYYMMDD,    Q
# 
  270,20150914,  855
  270,20150915,  833
  270,20150916,  315
  270,20150917,  511
  270,20150918, 1354
  270,20150919, 1401
  270,20150920,  740
  270,20150921,  465
  270,20150922,  923
  270,20150923, 1499
  270,20150924,  387
  270,20150925, 1162
  270,20150926,  878
  270,20150927,  941
  270,20150928,  637
  270,20150929, 1268
  270,20150930, 1364
  270,20151001, 1281
  270,20151002, 1329
  270,20151003, 1059
  270,20151004, 1006
  270,20151005,  822
  270,20151006,  324
  270,20151007,  525
  270,20151008,  460
  270,20151009,  585
  270,20151010, 1014
  270,20151011, 1166
  270,20151012,  756
  270,20151013,  896
  270,20151014,  366
  270,20151015,  143
  270,20151016,   91
  270,20151017,  193
  270,20151018,  308
  270,20151019,  532
  270,20151020,  393
  270,20151021,  311
  270,20151022,  253
  270,20151023,  510
  270,20151024,  295
  270,20151025,  760
  270,20151026,  573
  270,20151027,  377
  270,20151028,  323
  270,20151029,  317
  270,20151030,  525
  270,20151031,  634
  270,20151101,  249
  270,20151102,  272
  270,20151103,  599
  270,20151104,  397
  270,20151105,  243
  270,20151106,  176
  270,20151107,  175
  270,20151108,  426
  270,20151109,  212
  270,20151110,  205
  270,20151111,  149
  270,20151112,  470
  270,20151113,  485
  270,20151114,  210
  270,20151115,   73
  270,20151116,  232
  270,20151117,  273
  270,20151118,  289
  270,20151119,  206
  270,20151120,  323
  270,20151121,  304
  270,20151122,  343
